"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1995-03-13",0.8805,70,33742,NA,1.55
"1995-03-14",0.881,70,33742,NA,1.55
"1995-03-15",0.884,70,33742,NA,1.55
"1995-03-16",0.895,70,33742,NA,1.55
"1995-03-17",0.89,70,33742,NA,1.55
"1995-03-20",0.903,70,33742,NA,1.55
"1995-03-21",0.901,70,33742,NA,1.55
"1995-03-22",0.902,70,33742,NA,1.55
"1995-03-23",0.914,70,33742,NA,1.55
"1995-03-24",0.909,70,33742,NA,1.55
"1995-03-27",0.91,70,33742,NA,1.55
"1995-03-28",0.911,70,33742,NA,1.55
"1995-03-29",0.907,70,33742,NA,1.55
"1995-03-30",0.903,70,33742,NA,1.55
"1995-03-31",0.896,70,33742,NA,1.55
"1995-04-03",0.902,70,33742,NA,1.55
"1995-04-04",0.901,70,33742,NA,1.55
"1995-04-05",0.9,70,33742,NA,1.55
"1995-04-06",0.894,70,33742,NA,1.55
"1995-04-07",0.9,70,33742,NA,1.55
"1995-04-10",0.897,70,33742,NA,1.55
"1995-04-11",0.901,70,33742,NA,1.55
"1995-04-12",0.908,70,33742,NA,1.55
"1995-04-17",0.905,70,33742,NA,1.55
"1995-04-18",0.905,70,33742,NA,1.55
"1995-04-19",0.914,70,33742,NA,1.55
"1995-04-20",0.918,70,33742,NA,1.55
"1995-04-24",0.913,70,33742,NA,1.55
"1995-04-25",0.921,70,33742,NA,1.55
"1995-04-26",0.917,70,33742,NA,1.55
"1995-04-27",0.919,70,33742,NA,1.55
"1995-04-28",0.913,70,33742,NA,1.55
"1995-05-02",0.914,70,33742,NA,1.55
"1995-05-03",0.906,70,33742,NA,1.55
"1995-05-04",0.905,70,33742,NA,1.55
"1995-05-05",0.902,70,33742,NA,1.55
"1995-05-08",0.899,70,33742,NA,1.55
"1995-05-09",0.897,70,33742,NA,1.55
"1995-05-10",0.894,70,33742,NA,1.55
"1995-05-11",0.896,70,33742,NA,1.55
"1995-05-12",0.897,70,33742,NA,1.55
"1995-05-15",0.891,70,33742,NA,1.55
"1995-05-16",0.891,70,33742,NA,1.55
"1995-05-17",0.891,70,33742,NA,1.55
"1995-05-18",0.89,70,33742,NA,1.55
"1995-05-19",0.891,70,33742,NA,1.55
"1995-05-22",0.89,70,33742,NA,1.55
